claim_id,model,purchase_date,claim_date,days_since_purchase,mileage,part_replaced,part_cost,labor_cost,total_cost,invoice_present,image_present,previous_claims
CLM-0029,"Terra-9 (Four-Wheeler, SUV Petrol)",14-05-2024,20-09-2024,129,28023,Fuel Pump,338,167,505,1,1,2
CLM-0030,"Torque-7 (Four-Wheeler, SUV Diesel)",18-12-2025,03-02-2026,47,25188,Brake Pad,238,95,333,1,1,3
CLM-0031,"Pulse-3 (Two-Wheeler, Sports Bike)",17-01-2023,08-03-2023,50,11572,Starter Motor,250,104,354,1,1,1
CLM-0032,"Terra-9 (Four-Wheeler, SUV Petrol)",20-10-2024,29-11-2024,40,11647,Brake Pad,263,187,450,1,0,1
CLM-0033,"Torque-7 (Four-Wheeler, SUV Diesel)",09-04-2025,18-08-2025,131,3644,ECU,487,197,684,1,0,0
CLM-0034,"Volt-X (Four-Wheeler, EV Sedan)",18-02-2024,12-05-2024,84,9788,Battery,451,113,564,1,0,0
CLM-0035,"Torque-7 (Four-Wheeler, SUV Diesel)",15-03-2025,13-11-2025,243,10400,Fuel Pump,489,236,725,0,0,2
CLM-0036,"Swift-R (Two-Wheeler, Premium Bike)",04-11-2025,07-01-2026,64,5833,Starter Motor,298,107,405,0,0,1
CLM-0037,"Aero-5 (Four-Wheeler, Hatchback)",11-12-2023,23-04-2024,134,13763,Sensor,420,209,629,1,1,6
CLM-0038,"Aero-5 (Four-Wheeler, Hatchback)",21-02-2023,25-10-2023,246,16088,Alternator,433,91,524,1,1,3
CLM-0039,"Aero-5 (Four-Wheeler, Hatchback)",09-11-2023,29-02-2024,112,14644,Alternator,602,221,823,1,1,6
CLM-0040,"Pulse-3 (Two-Wheeler, Sports Bike)",23-02-2023,09-06-2023,106,11438,Brake Pad,186,293,479,1,1,5
CLM-0041,"Pulse-3 (Two-Wheeler, Sports Bike)",02-03-2025,05-09-2025,187,7974,Starter Motor,790,533,1323,1,1,1
CLM-0042,"Urban-2 (Two-Wheeler, Commuter)",25-06-2024,18-02-2025,238,12168,Starter Motor,908,471,1379,1,1,1
CLM-0043,"Swift-R (Two-Wheeler, Premium Bike)",06-01-2025,25-07-2025,200,14818,Starter Motor,1171,692,1863,1,1,1
CLM-0044,"Aero-5 (Four-Wheeler, Hatchback)",28-07-2024,15-09-2024,49,16067,Airbag,1231,463,1694,1,1,1
CLM-0045,"Swift-R (Two-Wheeler, Premium Bike)",10-06-2025,22-06-2025,12,1213,Headlight,562,318,880,1,1,0
CLM-0046,"Terra-9 (Four-Wheeler, SUV Petrol)",28-05-2025,04-06-2025,7,1443,Fuel Pump,729,314,1043,1,1,2
CLM-0047,"Terra-9 (Four-Wheeler, SUV Petrol)",11-09-2025,16-09-2025,5,772,ECU,683,195,878,1,1,2
CLM-0048,"Volt-X (Four-Wheeler, EV Sedan)",15-08-2024,01-07-2025,320,8200,ECU,620,410,1030,1,1,3
CLM-0049,"Torque-7 (Four-Wheeler, SUV Diesel)",05-11-2023,04-12-2025,760,11700,Fuel Pump,780,520,1300,1,0,4
CLM-0050,"Pulse-3 (Two-Wheeler, Sports Bike)",10-01-2025,24-06-2025,165,9100,Starter Motor,690,230,920,0,1,3
